"id","kode_kbli","nama_kbli","keterangan","versi","created_at","created_by_id","rejected_at","rejected_by_id","status","updated_at","verified_at","verified_by_id"
"19","314","Jasa penangkapan ikan di perairan umum","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"20","321","Budidaya ikan laut","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"21","323","Jasa budidaya ikan laut","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"22","325","Budidaya ikan air payau","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"23","326","Jasa budidaya ikan air payau","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"24","322","Budidaya ikan air tawar","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"25","324","Jasa budidaya ikan air tawar","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"26","72","Pertambangan bijih logam yang tidak mengandung besi, tidak termasuk bijih logam mulia","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"27","73","Pertambangan bijih logam mulia","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"28","1011","Kegiatan rumah potong dan pengepakan daging bukan unggas","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"29","1012","Kegiatan rumah potong dan pengepakan daging unggas","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"30","1013","Industri pengolahan dan pengawetan produk daging dan daging unggas","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"31","1021","Industri pengolahan dan pengawetan ikan dan produk ikan","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"32","1022","Industri pengolahan dan pengawetan ikan dan biota air dalam kaleng","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"33","1029","Industri pengolahan dan pengawetan biota air lainnya","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"34","1031","Industri pengolahan dan pengawetan buah- buahan dan sayuran dengan cara diasinkan, dilumatkan, dikeringkan dan dibekukan","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"35","1032","Industri pengolahan dan pengawetan buah- buahan dan sayuran dalam kaleng","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"36","1033","Industri pengolahan sari buah dan sayuran","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"37","1039","Industri pengolahan dan pengawetan lainnya buah-buahan dan sayuran","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"38","1041","Industri minyak dan lemak nabati dan hewani (bukan kelapa dan kelapa sawit)","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"39","1042","Industri kopra, minyak mentah dan minyak goreng kelapa, tepung dan pelet kelapa","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"40","1043","Industri minyak mentah/murni kelapa sawit (crude palm oil) dan minyak goreng kelapa sawit","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"41","1049","Industri minyak mentah dan lemak nabati dan hewani lainnya","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"42","1051","Industri pengolahan susu segar dan krim","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"43","1052","Industri pengolahan susu bubuk dan susu kental","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"44","1053","Industri pengolahan es krim dan sejenisnya","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"45","1059","Industri pengolahan produk dari susu lainnya","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"46","1061","Industri penggilingan serelia dan biji-bijian lainnya (bukan beras dan jagung)","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"47","1063","Industri penggilingan beras dan jagung dan industri tepung beras dan jagung","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"48","1076","Industri pengolahan kopi, teh dan herbal (herb infusion)","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"49","1077","Industri bumbu-bumbuan dan produk masak lainnya","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"50","1079","Industri produk makanan lainnya","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"51","10791","Industri makanan bayi","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"52","10792","Industri kue basah","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"53","10793","Industri makanan dari kedele dan kacang- kacangan lainnya bukan kecap, tempe dan tahu","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"54","10794","Industri kerupuk, keripik, peyek dan sejenisnya","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"55","1104","Industri minuman ringan","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"56","1105","Industri air minum dan air mineral","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"57","1109","Industri minuman lainnya","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"58","1201","Industri rokok dan produk tembakau lainnya","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"59","1209","Industri pengolahan tembakau lainnya","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"60","1411","Industri pakaian jadi (bukan penjahitan dan pembuatan pakaian)","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"61","1412","Penjahitan dan pembuatan pakaian sesuai pesanan","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"62","1413","Industri perlengkapan pakaian yang utamanya terbuat dari tekstil","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"63","1921","Industri bahan bakar dan minyak pelumas hasil pengilangan minyak bumi","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"64","1929","Industri produk pengilangan minyak bumi lainnya","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"65","2101","Industri farmasi dan produk obat kimia","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"66","2102","Industri obat tradisional","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"67","2212","Industri pengasapan, remilling dan karet remah","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"68","2219","Industri barang dari karet lainnya","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"69","2221","Industri barang dari plastik untuk bangunan","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"70","2222","Industri barang dari plastik untuk pengemasan","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"71","2223","Industri pipa plastik dan perlengkapannya","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"72","2229","Industri barang dari plastik lainnya","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"73","2311","Industri kaca","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"74","2312","Industri barang dari kaca","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"75","2594","Industri ember, kaleng, drum dan wadah sejenis dari logam","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"76","2595","Industri barang dari kawat dan paku, mur dan","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"77","2599","Industri barang logam lainnya YTDL","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"78","2611","Industri tabung elektron dan konektor elektronik","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"79","2612","Industri semi konduktor dan komponen elektronik lainnya","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"80","2621","Industri komputer dan/atau perakitan computer","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"81","2622","Industri perlengkapan computer","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"82","2631","Industri peralatan telepon dan faksimili","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"83","2632","Industri peralatan komunikasi tanpa kabel (wireless)","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"84","2639","Industri peralatan komunikasi lainnya","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"85","2641","Industri televisi dan/atau perakitan televisi","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"86","2642","Industri peralatan perekam, penerima dan pengganda audio dan video, bukan industri televisi","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"87","2649","Industri peralatan audio dan video elektronik lainnya","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"88","265","Industri alat ukur, alat uji, peralatan navigasi dan kontrol dan alat ukur waktu","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"89","2671","Industri peralatan fotografi","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"90","2679","Industri peralatan fotografi dan instrumen optik lainnya","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"91","2711","Industri motor listrik, generator dan transformator","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"92","2712","Industri peralatan pengontrol dan pendistribusian listrik","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"93","2751","Industri peralatan listrik rumah tangg","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"94","2752","Industri peralatan","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"95","2753","Industri peralatan pemanas dan masak bukan listrik rumah tangga","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"96","3701","Pengumpulan air limbah","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"97","3702","Pengelolaan dan pembuangan air limbah","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"98","4101","Konstruksi gedung","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"99","4102","Pemasangan bangunan prafabrikasi untuk gedung","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"100","4211","Konstruksi jalan dan jalan rel","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"101","4212","Pemasangan bangunan prafabrikasi untuk konstruksi jalan dan jalan rel","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"102","4221","Konstruksi jaringan irigasi, komunikasi dan limbah","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"103","4222","Pemasangan bangunan prafabrikasi untuk konstruksi jaringan saluran irigasi, komunikasi dan limbah","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"104","4291","Konstruksi bangunan sipil lainnya","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"105","4292","Pemasangan bangunan prafabrikasi untuk konstruksi bangunan sipil lainnya","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"106","4631","Perdagangan besar bahan makanan dan minuman hasil pertanian","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"107","4632","Perdagangan besar bahan makanan dan minuman hasil peternakan dan perikanan","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"108","4633","Perdagangan besar makanan dan minuman lainnya dan tembakau","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"109","4642","Perdagangan besar alat tulis dan hasil pencetakan dan penerbitan","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"110","4643","Perdagangan besar alat fotografi dan barang optik","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"111","4649","Perdagangan besar barang keperluan rumah tangga lainnya","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"112","4761","Perdagangan eceran khusus alat tulis dan hasil pencetakan dan penerbitan di toko","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"113","4765","Perdagangan eceran kertas, kertas karton dan barang dari kertas/karton","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"114","4773","Perdagangan eceran khusus barang baru lainnya di toko","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"115","4775","Perdagangan eceran khusus hewan piaraan dan hewan ternak","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"116","4776","Perdagangan eceran bunga potong, tanaman hias, pupuk dan YBDI di toko","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"117","4777","Perdagangan eceran bahan bakar bukan bahan bakar untuk kendaraan bermotor di toko","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"118","4778","Perdagangan eceran barang kerajinan dan lukisan di toko","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"119","4779","Perdagangan eceran khusus barang lainnya YTDL","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"120","4781","Perdagangan eceran kaki lima dan los pasar komoditi hasil pertanian","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"121","4782","Perdagangan eceran kaki lima dan los pasar makanan, minuman dan produk tembakau hasil industri pengolahan","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"122","4783","Perdagangan eceran kaki lima dan los pasar tekstil, pakaian dan alas kaki","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"123","4784","Perdagangan eceran kaki lima dan los pasar bahan kimia, farmasi, kosmetik dan YBDI","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"124","4785","Perdagangan eceran kaki lima dan los pasar barang pribadi","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"125","4786","Perdagangan eceran kaki lima dan los pasar perlengkapan rumah tangga","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"126","4787","Perdagangan eceran kaki lima dan los pasar kertas, barang dari kertas, alat tulis, barang cetakan, alat olahraga, alat musik, alat fotografi dan komputer","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"127","4788","Perdagangan eceran kaki lima dan los pasar barang kerajinan, mainan anak-anak dan lukisan","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"128","4789","Perdagangan eceran kaki lima dan los pasar barang lainnya dan barang bekas","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"129","4792","Perdagangan eceran atas dasar balas jasa (fee) atau kontrak","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"130","4799","Perdagangan eceran bukan di toko, kios, kaki lima dan los pasar lainnya","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"131","492","Angkutan bus","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"132","494","Angkutan darat bukan bus","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"133","4921","Angkutan bus bertrayek","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"134","4922","Angkutan bus tidak bertrayek","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"135","4941","Angkutan darat bukan bus untuk penumpang, bertrayek","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"136","4942","Angkutan darat lainnya untuk penumpang","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"137","4944","Angkutan jalan rel perkotaan dan wisata untuk penumpang","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"138","4945","Angkutan jalan rel lainnya","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"139","4943","Angkutan darat untuk barang","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"140","5011","Angkutan laut dalam negeri untuk penumpang","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"141","5012","Angkutan laut luar negeri untuk penumpang","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"142","5013","Angkutan laut dalam negeri untuk barang","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"143","5014","Angkutan laut luar negeri untuk barang","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"144","5511","Hotel bintang","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"145","5512","Hotel melati","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"146","5513","Pondok wisata","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"147","5519","Penyediaan akomodasi jangka pendek lainnya","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"148","5519","Penyediaan akomodasi jangka pendek lainnya","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"149","6191","Jasa nilai tambah teleponi","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"150","6192","Jasa multimedia","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"151","6199","Aktivitas telekomunikasi lainnya YTDL","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"152","6412","Perbankan konvensional","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"153","6413","Perbankan syariah","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"154","6414","Koperasi simpan pinjam/unit simpan pinjam","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"155","6415","Lembaga keuangan mikro","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"156","6419","Perantara moneter lainnya","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"157","6811","Real estat yang dimiliki sendiri atau disewa","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"158","6812","Kawasan pariwisata","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"159","6813","Kawasan industri","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"160","7991","Jasa informasi pariwisata","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"161","7992","Jasa pramuwisata dan interpreter wisata","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"162","7999","Jasa reservasi lainnya YBDI YTDL","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"163","8511","Pendidikan dasar pemerintah","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"164","8512","Pendidikan dasar swasta","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"165","8513","Pendidikan anak usia dini","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"166","852","Pendidikan menengah","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"167","8521","Pendidikan menengah umum/madrasah aliyah pemerintah","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"168","8522","Pendidikan menengah umum/madrasah aliyah swasta","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"169","8523","Pendidikan menengah kejuruan dan teknis/madrasah aliyah kejuruan pemerintah","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"170","8524","Pendidikan menengah kejuruan/madrasah aliyah kejuruan swasta","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"171","8531","Pendidikan tinggi pemerintah","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"172","8532","Pendidikan tinggi swasta","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"173","8543","Pendidikan lainnya pemerintah","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"174","8549","Pendidikan lainnya YTDL","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"175","9322","Daya tarik wisata alam","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"176","9323","Daya tarik wisata buatan/binaan manusia","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"177","9324","Wisata tirta","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"178","9329","Aktivitas hiburan dan rekreasi lainnya YTDL","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"179","961","Aktivitas jasa perorangan untuk kebugaran, bukan olahraga","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"180","962","Aktivitas binatu","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"181","969","Aktivitas jasa perorangan lainnya YTDL","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"182","9620","Aktivitas binatu","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"183","9611","Aktivitas pangkas rambut dan salon kecantikan","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"184","9691","Aktivitas pemakaman dan kegiatan YBDI","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"185","9699","Aktivitas jasa perorangan lainnya YTDL","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"186","9612","Aktivitas kebugaran","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"187","111","Pertanian serealia (bukan padi), aneka kacang dan biji-bijian penghasil minyak","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"188","1111","Pertanian jagung","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"189","1112","Pertanian gandum","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"190","1113","Pertanian kedelai","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"191","1114","Pertanian kacang tanah","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"192","1115","Pertanian kacang hijau","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"193","1116","Pertanian aneka kacang hortikultura","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"194","1117","Pertanian biji-bijian penghasil minyak makan","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"195","1118","Pertanian biji-bijian penghasil bukan minyak makan","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"196","1119","Pertanian serealia lainnya, aneka kacang dan biji-bijian penghasil minyak lainnya","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"197","112","Pertanian padi","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"198","1122","Pertanian padi inbrida","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
